N,University ,City ,State,Country,Latitude,Longitdue,Dorm Level? ,Dashboard,News Article,Publication ,protocol,
1,University of Alaska Anchorage ,Anchorage,Alaska,USA,61.191,-149.8196,,,https://www.uaa.alaska.edu/news/archive/2020/09/covid-19-wastewater-testing-research.cshtml,,,
2,University of Alaska Fairbanks,Fairbanks,Alaska,USA,64.8558,-147.8335,,,https://www.uaa.alaska.edu/news/archive/2020/09/covid-19-wastewater-testing-research.cshtml,,,
3,University of Arizona,Tucson,Arizona,USA,32.231685,-110.949466,Yes,,https://www.washingtonpost.com/nation/2020/08/28/arizona-coronavirus-wastewater-testing/?hpid=hp_morning-mix-8-12-rr1_mm-poop%3Ahomepage%2Fstory-ans,"Charles Gerba and kyle bibby featured in this publication, along with Michigan State University: https://pubs.rsc.org/en/content/articlelanding/2020/ew/d0ew90031a#!divAbstract",,
4,Univesrity of Arkansas,Fayetteville ,Arkansas,USA,36.0687,-94.1748,,,https://news.uark.edu/articles/54272/researcher-to-study-whether-sewage-can-help-track-covid-19,,,
5,Loma Linda University ,Loma Linda ,California,USA,34.0494,-117.2641,,https://datastudio.google.com/u/0/reporting/430e67c8-acaf-4574-a2d4-48d0b665ab05/page/jMhOC ,https://news.llu.edu/academics/school-of-public-health-students-testing-wastewater-for-covid-19,,,
6,Stanford,Stanford,California,USA,37.427287,-122.169891,,https://soe-wbe-pilot.wl.r.appspot.com/charts#page=overview ,https://www.news-medical.net/news/20211114/SARS-CoV-2-RNA-is-enriched-in-the-solids-fraction-of-wastewater.aspx ,,,
7,UC Berkeley ,Berekely,California,USA,37.871882,-122.258797,,https://coronavirus.berkeley.edu/dashboard/wastewater/,https://engineering.berkeley.edu/news/2020/06/monitoring-covid-19-prevalence-in-municipal-wastewater/,https://www.medrxiv.org/content/10.1101/2020.09.13.20193805v1.full.pdf,,
8,UC Merced,Merced,California,USA,37.2661,-120.4224,,https://arcg.is/1aummW,https://news.ucmerced.edu/news/2021/campus-wastewater-testing-offers-covid-19-early-warning-system-establishes-protocols ,https://www.medrxiv.org/content/10.1101/2021.03.14.21253564v1,,
9,UC San Diego,San Diego,California,USA,32.879754,-117.234185,Yes,https://returntolearn.ucsd.edu/dashboard/index.html,https://ucsdnews.ucsd.edu/feature/uc-san-diego-bolsters-aggressive-return-to-learn-plan-to-prevent-outbreaks-on-campus,,,
10,UC Santa Barbara ,Santa Barbara,California,USA,34.414,-119.8489,,,https://www.miragenews.com/researchers-are-developing-methods-to-monitor-covid-19-virus-through-community-s-wastewater,,,
11,University of Southern California ,Los Angeles ,California,USA,34.0224,-118.2851,,,https://www.nbclosangeles.com/news/coronavirus/los-angeles-sewers-wastewater-sewage-covid-19-outbreak-coronavirus-usc/2407612/,,,
12,UC Davis ,Davis,California ,USA,38.538224,-121.761723,Yes,https://healthydavistogether.org/wastewater-testing/ ,https://www.abc10.com/article/news/health/coronavirus/uc-davis-rolls-out-proactive-measures-to-prevent-the-spread-of-coronavirus-on-campus/103-c9fe6d5d-5e57-46b9-8809-0f7bc97abd84,,,
13,UC Irvine,Irvine ,California ,USA,33.6405,-117.8443,,,https://www.telluridenews.com/news/article_80efe9bc-b82a-11eb-82ff-9b58ef90de00.html ,,,
14,Colorado Boulder,Boulder,Colorado ,USA,40.007331,-105.265994,Yes,,https://www.colorado.edu/today/2021/04/01/not-moment-waste-how-resource-beneath-our-campus-has-been-key-during-covid-19,,,
15,Colorado State University ,Fort Collins ,Colorado ,USA,40.5532,-105.0867,Yes,,https://engr.source.colostate.edu/csu-delivers-covid-wastewater-testing-data-to-state-health-officials-and-wastewater-partners/?utm_source=facebook&utm_medium=social&utm_campaign=vpr-f0129,,,
16,Metro State University ,Denver ,Colorado ,USA,39.7432,-105.0063,,,,,,
17,Yale University,New Haven,Connecticut ,USA,41.3083,-72.9279,,https://yalecovidwastewater.com/,https://seas.yale.edu/news-events/news/yales-wastewater-sampling-project-used-throughout-ct-predict-covid-19,https://www.nature.com/articles/s41587-020-0684-z,,
18,University of Connecticut,Storrs,Connecticut ,USA ,41.8077,-72.254,,https://covid-testing.uconn.edu/dashboard/,https://today.uconn.edu/2021/11/uconn-established-as-center-of-excellence-for-wastewater-based-covid-19-surveillance/# ,,,
19,Howard University ,Washington,District of Colombia,USA,38.9227,-77.0194,,,https://newsroom.howard.edu/newsroom/article/12606/howard-university-assistant-professor-collaborates-wastewater-testing,,,
20,University of Florida,Gainsville,Florida,USA ,29.6536,-82.3549,,,https://news.ufl.edu/2020/09/wastewater/#.X25jBwe6_EU.twitter,,,
21,University of Hawaii Manoa,Honolulu,Hawaii,USA,21.2969,-157.8171,,,https://www.hawaii.edu/news/2020/04/27/covid19-wastewater-surveillance/,,,
22,Northwestern University,Evanston ,Illinois,USA,42.055984,-87.675171,,,https://www.chicagotribune.com/news/environment/ct-coronavirus-tracking-sewage-20200530-4zpb3hn2prb5vj4ksz7i67bnha-story.html,,,
23,Notre Dame,South Bend,Indiana,USA,41.705363,-86.235081,Yes,,https://news.nd.edu/news/notre-dame-researchers-to-study-wastewater-focus-on-short-term-forecasts-in-response-to-pandemic/,Kyle Bibby featured in this publication: https://pubs.acs.org/doi/10.1021/acs.est.0c02388,https://www.protocols.io/view/wastewater-concentration-by-adsorption-and-direct-bhiuj4ew,
24,University of Kansas,Lawrence ,Kansas,USA,38.9543,-95.2558,,,https://www.kansascity.com/news/local/article244419427.html,,,
25,Univiersity of Kentucky ,Lexington,Kentucky,USA,38.0307,-84.504,,,https://www.wymt.com/2020/08/20/lexington-sewage-systems-to-be-tested-for-coronavirus/,,,
26,Louisiana State University,Baton Rouge,Louisiana,USA,30.4133,-91.18,,https://www.lsu.edu/roadmap/covid-dashboard/index.php ,https://www.lsu.edu/eng/news/2020/06/parduecovidtesting.php,,,
27,University of Maine,Orono,Maine,USA,44.8956,-68.6736,Yes,https://www.maine.edu/together/,https://www.mainepublic.org/post/maine-college-uncovers-covid-19-outbreak-through-wastewater-testing,,,
28,University of Maine,Fort Kent ,Maine,USA,47.2504,-68.5893,,,https://www.mainepublic.org/post/maine-college-uncovers-covid-19-outbreak-through-wastewater-testing?fbclid=IwAR0J8wtn37h-zU1ROQinfw48Uu8eqx3zw0VE0Bp8iJFTYLbqWFt_89EVMR4,,,
29,Saint Joseph's College of Maine,Standish,Maine,USA,43.8267,-70.4829,,,https://www.mainepublic.org/post/maine-college-uncovers-covid-19-outbreak-through-wastewater-testing?fbclid=IwAR0J8wtn37h-zU1ROQinfw48Uu8eqx3zw0VE0Bp8iJFTYLbqWFt_89EVMR4,,,
30,University of Maryland,College Park,Maryland,USA,38.9869,-76.9426,,,https://research.umd.edu/news/news_story.php?id=13081,,,
31,St. Mary's College of Maryland,St. Mary's City ,Maryland,USA,38.1909,-76.429,,,http://www.smchd.org/2020/05/st-marys-collaboration-to-study-covid-19-in-wastewater/,,,
32,Northeastern University ,Boston,Massachusetts,USA,42.3398,-71.0829,,,https://news.northeastern.edu/2020/09/15/are-there-covid-19-cases-in-your-community-the-answer-is-in-your-sewers/,,,
33,Michigan State University ,Lansing ,Michigan,USA,42.702558,-84.482204,,,https://www.wkar.org/post/testing-waters-msu-searches-covid-beneath-campus#stream/0,,,
34,Eastern Michigan University,Ypsilanti,Michigan,USA,42.2507,-83.6241,,,https://www.secondwavemedia.com/concentrate/innovationnews/emuwastewatercovid0616.aspx,,,
35,Saginaw Valley State University,Saginaw,Michigan,USA,43.5143,-83.9624,,,https://www.mlive.com/coronavirus/2020/09/wastewater-testing-for-coronavirus-outbreak-detection-to-get-10m-pilot.html,,,
36,University of Minnesota  ,Minneapolis ,Minnesota ,USA,44.974,-93.2277,,https://simmonslab.d.umn.edu/covid-19-surveillance/data ,https://www.mprnews.org/story/2020/09/23/u-researchers-testing-campus-sewage-for-covid19,,,
37,University of Minnesota Duluth,Duluth,Minnestoa ,USA,46.8188,-92.0843,Yes,,https://www.mprnews.org/story/2020/09/23/u-researchers-testing-campus-sewage-for-covid19,,,
38,University of Missouri,Colombia ,Missouri,USA,38.9404,-92.3277,,https://storymaps.arcgis.com/stories/f7f5492486114da6b5d6fdc07f81aacf,https://www.nytimes.com/2021/05/07/health/coronavirus-sewage.html ,,,
39,Montana State Univesrity ,Bozeman ,Montana,USA,45.6674,-111.0546,,,https://www.hcn.org/issues/52.10/north-covid19-what-sewage-can-tell-us-about-the-spread-of-covid-19,,,
40,University of Nebraska,Lincoln ,Nebraska,USA,40.8202,-96.7005,,,https://news.unl.edu/newsrooms/today/article/bartelt-hunt-searching-sewage-for-covid-19/,,,
41,University of Nevada Reno,Reno,Nevada,USA,39.5443,-119.8162,,,https://www.unr.edu/nevada-today/news/2020/sars-cov-2-wastewater-survey,,,
42,Darmouth-Hitchcock Medical Center,Lebanon ,New Hampshire ,USA,43.6755,-72.273,,,https://www.unionleader.com/news/health/coronavirus/dartmouth-hitchcock-researchers-to-monitor-nh-wastewater-for-covid-19-outbreaks/article_67d96102-7e21-5e9f-a2fe-afcc99e1ea9a.html,,,
43,NJIT ,Newark,New Jersey,USA,40.742832,-74.177045,Yes,,https://www.njit.edu/pandemicrecovery/wastewater-testing-update,,,
44,New Mexico State University,Las Cruces,New Mexico,USA,32.2788,-106.7479,Yes,,https://engr.nmsu.edu/wastewater/,,,
45,Syracuse University,Syracuse,New York,USA,43.039106,-76.135502,Yes,,https://www.syracuse.com/coronavirus/2020/06/su-esf-will-test-sewage-dorm-by-dorm-to-track-coronavirus-spread.html,,,
46,Colombia University,New York ,New York,USA,40.8075,-73.9626,Yes,,https://barnard.edu/news/testing-waters,,,
47,University of North Carolina Wilmington,Wilmington,North Carolia,USA,34.2239,-77.8696,,,https://uncw.edu/news/2020/08/uncw-research-could-help-health-officials-identify-possible-coronavirus-outbreaks.html,,,
48,University of North Carolina Chapel Hill,Chapel Hill ,North Carolina,USA,35.9049,-79.0469,,,https://thewell.unc.edu/2021/04/15/tracking-a-virus-villain-draft/,,,
49,North Carolina State University ,Raleigh ,North Carolina,USA,35.7847,-78.6821,,,https://www.newsobserver.com/news/coronavirus/article243737607.html,,,
50,University of North Carolina Charlotte,,North Carolina,USA,35.3036,-80.7324,Yes,,https://www.wcnc.com/article/news/health/coronavirus/unc-charlotte-to-test-wastewater-for-covid-19/275-b216826d-73c8-4c93-94ad-c5d465308708,,,
51,North Dakota State University,Fargo,North Dakota,USA,46.8978,-96.8024,Yes,,https://www.valleynewslive.com/2020/09/26/ndsu-testing-residence-hall-waste-water-for-covid-19/,,,
52,The Ohio State University,Columbus,Ohio,USA,40.0067,-83.0305,,,https://news.osu.edu/looking-for-a-covid-19-early-warning/,,,
53,University of Oklahoma ,Norman,Oklahoma,USA,35.2059,-97.4457,,,https://kfor.com/news/ou-researchers-study-student-housing-wastewater-for-covid-19-trends/,,,
54,University of Guelph,Guelph,Ontario,Canada ,43.5327,-80.2262,,https://news.uoguelph.ca/2019-novel-coronavirus-information/u-of-g-covid-19-wastewater-report/ ,https://news.uoguelph.ca/2020/09/u-of-g-researcher-measuring-covid-19-levels-in-local-wastewater/,,,
55,Oregon State University,Corvallis,Oregon,USA,44.5638,-123.2794,,https://trace.oregonstate.edu/testing-results ,https://today.oregonstate.edu/news/trace-osu-support-health-and-safety-person-wastewater-sars-cov-2-testing,,,
56,Penn State University,State College,Pennsylvania ,USA,40.7982,-77.8599,,,https://www.collegian.psu.edu/news/campus/penn-state-wastewater-testing-shows-potential-for-future-coronavirus-monitoring/article_d64aca06-972a-11eb-8714-73afac460e36.html,,,
57,Clemson University ,Clemson ,South Carolina ,USA,34.6834,-82.8374,,https://www.clemsoncity.org/Activityfeed/Myarticles/TabId/197/ArtMID/2433/ArticleID/3980/Clemson-University-SARS-CoV-2-in-Wastewater-Monitoring-Record-Updates-as-of-September-2nd.aspx,https://newsstand.clemson.edu/mediarelations/wastewater-testing-provides-an-early-warning-of-community-coronavirus-levels-researcher-says/,,,
58,University of South Carolina,Columbia ,South Carolina ,USA,33.9938,-81.0299,,,https://www.abccolumbia.com/2020/09/03/uofsc-studying-wastewater-samples-in-effort-to-limit-covid-19-outbreaks-across-campus/,,,
59,University of Tennessee,Knoxville,Tennessee,USA,35.9544,-83.9295,Yes,,https://www.wate.com/news/university-of-tennessee-covid-19-wastewater-saliva-sampling-testing-underway/,,,
60,University of Texas,Austin,Texas,USA,30.2849,-97.7341,,,https://www.kxan.com/news/local/austin/your-poop-is-helping-predict-covid-19-outbreaks-in-austin/,,,
61,Rice University,Houston,Texas,USA,29.7174,-95.4018,,https://covidwwtp.spatialstudieslab.org/ ,https://www.bcm.edu/news/detecting-sars-cov2-using-houstons-wastewater,,,
62,Baylor College of Medicine ,Houston,Texas ,USA,29.7105,-95.3965,,,https://www.bcm.edu/news/detecting-sars-cov2-using-houstons-wastewater,,,
63,Brigham Young University ,Provo,Utah,USA,40.2518,-111.6493,,,https://universe.byu.edu/2020/09/07/byu-implementing-covid-wastewater-testing/,,,
64,Utah State University,Logan,Utah,USA,41.745169,-111.809737,Yes,https://deq.utah.gov/water-quality/sars-cov-2-sewage-monitoring,https://www.fox13now.com/news/local-news/students-quarantined-at-utah-state-university-after-covid-19-found-in-dorm-wastewater,,,
65,University of Vermont,Burlington,Vermont,USA,44.4779,-73.1965,,,https://www.uvm.edu/uvmnews/news/student-research-takes-aim-brighter-greener-future,,,
66,University of Virginia ,Charlottesville,Virginia ,USA,38.033519,-78.508009,Yes,,https://engineering.virginia.edu/news/2020/10/inside-science-testing-wastewater-uva-evidence-covid-19,,,
67,Virginia Tech,Blacksburg,Virginia ,USA,37.2284,-80.4234,,,https://vtnews.vt.edu/articles/2020/09/researchers-expand-wastewater-testing.html,,,
68,Bangor University,Bangor,Wales,UK,53.2295,-4.13,,,https://www.preventionweb.net/news/view/72217,,,
69,University of Washington,Seattle,Washington,USA,47.710461,-122.316655,,,https://www.seattletimes.com/seattle-news/health/how-our-sewage-could-warn-us-of-future-outbreaks-of-covid-19/,,,
70,University of Wisconsin,Madison,Wisconsin,USA,43.0766,-89.4125,,,https://www.dailycardinal.com/article/2020/09/5f62c88bdc8bd,,,
71,University of Louisville ,Louisville,Kentucky,USA,38.2123,-85.7585,,https://louisville.edu/envirome/thecoimmunityproject/dashboard ,https://www.lanereport.com/140457/2021/04/uofl-receives-8-6-million-for-covid-19-wastewater-research/,https://www.medrxiv.org/content/10.1101/2020.08.23.20180224v1,,
72,Tulane University,New Orleans,Louisianna,USA,29.9407,-90.1203,,,https://www.fox8live.com/2020/07/28/new-tulane-study-detects-coronavirus-wastewater/?outputType=amp,https://www.sciencedirect.com/science/article/abs/pii/S0048969720341437 ,,
73,Hope College,Holland,Michigan,USA,42.7872244,-86.105033,Yes,,https://hope.edu/coronavirus/health-safety/wastewater-testing.html ,,,
74,University of Massachusetts Amherst ,Amherst,MA,USA ,42.3732,-72.5199,,,,,,
75,Instituto Superior Tecnico,Lisbon,Lisbon,Portugal,38.736849,-9.139034,,,https://www.theportugalnews.com/news/2021-06-02/detection-of-covid-in-sewage-treatment-plants-will-be-the-rule-throughout-portugal/60176,,,
76,Ryerson University,Toronto,Ontario,Canada,43.6532,-79.3832,,,https://innovation.ryerson.ca/urban-health-wellbeing/how-sewage-science-can-be-used-to-fight-covid-19-and-future-pandemics?platform=hootsuite,,,
77,University of Texas at San Antonio,San Antonio,Texas,USA,29.5827,-98.6189,,https://engineering.utsa.edu/vkapoor/research/wastewater-covid/,https://www.growhealthyfund.com/event,,,
78,University of Ottawa,Ottawa,Ontario,Canada,45.462,-75.5903,,https://613covid.ca/wastewater/#,https://www.cbc.ca/news/politics/canadian-universities-testing-long-term-care-homes-wastewater-1.5818701?__vfz=medium%3Dsharebar,,,
79,Rochester Institute of Technology ,Rochester,New York,USA,43.084503,-77.67491,,,https://www.rit.edu/news/rit-retools-its-wastewater-testing-approach-spring-semester?utm_source=twitter&utm_medium=social&utm_campaign=coronavirus%2Cmc-ritready&utm_term=coronavirus_waste_water_testing&utm_content=wastewater_testing_updates,,,
80,University of Windsor - Great Lakes Institute for Environmental Research,Windsor,Ontario,Canada,42.305542,-83.065541,No,,https://www.cbc.ca/news/canada/windsor/great-lakes-institute-windsor-coronavirus-wastewater-poop-1.5710240,,,
81,Universidad Nacional Autónoma de México (National Autonomous University of Mexico),Mexico City,Mexico City,Mexico,19.322798,-99.186588,,,https://www.dgcs.unam.mx/boletin/bdboletin/2020_635.html,,,
